epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1101.32,1.59833,3.34731,1.35972,1.51969,0.72233,0.70736,0.67727,0.38805,0.62104,0.59026,0.50645,0.19363,1.49972,3.81648,1.26787,1.63711,0.000663024,0.000663024,0.000663024
2,2203.81,1.45951,3.07866,1.14936,1.4517,0.68129,0.67184,0.67217,0.37457,0.61309,0.6,0.56963,0.26428,1.52488,3.5218,1.31925,1.67962,0.00126387,0.00126387,0.00126387
3,3296.73,1.46583,3.07524,1.14446,1.45267,0.75308,0.72554,0.74406,0.43483,0.67444,0.59913,0.58439,0.22867,1.51207,3.56364,1.14196,1.71624,0.00179872,0.00179872,0.00179872
4,4379.49,1.42092,3.00909,1.11236,1.43914,0.72747,0.60866,0.64899,0.37055,0.65315,0.54892,0.54158,0.25326,1.46772,3.15896,1.50192,1.64868,0.001703,0.001703,0.001703
5,5467.55,1.36201,2.91283,1.048,1.40525,0.80628,0.64416,0.70858,0.41974,0.7239,0.58095,0.58321,0.27845,1.39174,3.00615,1.34317,1.60142,0.001604,0.001604,0.001604
6,6550.61,1.31304,2.82494,0.98001,1.37235,0.78935,0.74113,0.75737,0.49273,0.74175,0.67706,0.67272,0.34813,1.2639,2.86538,1.03836,1.48974,0.001505,0.001505,0.001505
7,7632.61,1.31488,2.81546,0.98079,1.36708,0.82333,0.72223,0.78628,0.51586,0.76591,0.67186,0.69914,0.36034,1.25027,2.80861,0.95097,1.47214,0.001406,0.001406,0.001406
8,8712.67,1.26838,2.77884,0.96427,1.35132,0.82169,0.7645,0.81463,0.53188,0.75655,0.7039,0.70976,0.366,1.23175,2.76747,0.88675,1.4604,0.001307,0.001307,0.001307
9,9793.25,1.26132,2.72281,0.94248,1.33367,0.82566,0.73074,0.79048,0.53659,0.77097,0.67326,0.70079,0.37932,1.17046,2.72732,0.96061,1.40345,0.001208,0.001208,0.001208
10,10872.8,1.2328,2.68322,0.9072,1.32391,0.81224,0.77489,0.81418,0.5562,0.76126,0.69091,0.71441,0.38093,1.17809,2.76139,0.83306,1.42816,0.001109,0.001109,0.001109
11,11935.9,1.19582,2.67427,0.8886,1.40896,0.83863,0.78615,0.8283,0.56728,0.77025,0.72987,0.72627,0.39021,1.14908,2.6812,0.8457,1.39535,0.00101,0.00101,0.00101
12,12996.6,1.1646,2.61508,0.85308,1.38676,0.84466,0.76268,0.82816,0.56781,0.80096,0.70996,0.74786,0.40862,1.12968,2.61838,0.86212,1.37878,0.000911,0.000911,0.000911
13,14062.9,1.13935,2.58319,0.84023,1.37073,0.84735,0.78009,0.83059,0.58063,0.79493,0.73247,0.74762,0.41261,1.08309,2.59209,0.81551,1.3804,0.000812,0.000812,0.000812
14,15132.7,1.12972,2.54928,0.81287,1.37436,0.85697,0.77662,0.83736,0.58012,0.78988,0.71861,0.73098,0.40415,1.10018,2.57402,0.8097,1.37516,0.000713,0.000713,0.000713
15,16204.1,1.10268,2.49295,0.7839,1.3453,0.84319,0.79654,0.84649,0.59494,0.80353,0.73506,0.75691,0.42847,1.08,2.51148,0.80349,1.34294,0.000614,0.000614,0.000614
16,17270.3,1.08501,2.45656,0.78016,1.32631,0.85207,0.78788,0.84602,0.5959,0.79818,0.72935,0.75368,0.42283,1.04214,2.49573,0.75735,1.33317,0.000515,0.000515,0.000515
17,18335.2,1.0589,2.4302,0.75026,1.31649,0.86033,0.7733,0.85027,0.60299,0.8084,0.72987,0.76309,0.42808,1.04602,2.4484,0.76224,1.32456,0.000416,0.000416,0.000416
18,19398.8,1.02831,2.39508,0.73693,1.29309,0.85198,0.79239,0.84964,0.60457,0.77994,0.75844,0.76187,0.43176,1.03964,2.43651,0.72735,1.32246,0.000317,0.000317,0.000317
19,20465.1,1.0147,2.34522,0.71555,1.28502,0.87206,0.79078,0.85257,0.61339,0.80957,0.74349,0.7631,0.43551,1.01888,2.40548,0.70827,1.30486,0.000218,0.000218,0.000218
20,21533.2,0.99325,2.31459,0.68625,1.26288,0.83965,0.81153,0.85786,0.61627,0.79968,0.73964,0.76619,0.43616,1.01529,2.39378,0.71111,1.3036,0.000119,0.000119,0.000119
